15,hit,10,lose
20,stand,6,win
16,hit,6,lose
7,hit,10,lose
5,hit,9,win
17,stand,8,win
19,stand,10,win
16,hit,6,lose
13,hit,5,lose
10,hit,10,push
5,hit,10,win
16,hit,3,lose
14,hit,7,win
15,hit,5,lose
18,stand,10,win
20,stand,6,win
19,stand,7,win
16,hit,3,lose
13,hit,7,win
9,hit,6,win
17,stand,2,win
18,stand,8,lose
15,hit,10,win
21,stand,2,win
15,hit,5,push
13,hit,3,lose
16,hit,8,lose
15,hit,10,win
14,hit,3,win
12,hit,7,lose
12,hit,a,lose
14,hit,3,lose
17,stand,10,win
12,hit,7,lose
12,hit,5,lose
16,hit,8,lose
7,hit,10,lose
14,hit,10,lose
21,stand,9,win
7,hit,a,lose
20,stand,9,push
9,hit,10,lose
16,hit,2,win
18,stand,4,lose
18,stand,10,win
21,stand,9,win
4,hit,2,lose
6,hit,a,win
16,hit,10,push
10,hit,4,win
16,hit,10,lose
20,stand,10,lose
15,hit,10,lose
20,stand,6,win
16,hit,6,lose
7,hit,10,lose
5,hit,9,win
17,stand,8,win
19,stand,10,win
16,hit,6,lose
13,hit,5,lose
10,hit,10,push
5,hit,10,win
16,hit,3,lose
14,hit,7,win
15,hit,5,lose
18,stand,10,win
20,stand,6,win
19,stand,7,win
16,hit,3,lose
13,hit,7,win
9,hit,6,win
17,stand,2,win
18,stand,8,lose
15,hit,10,win
21,stand,2,win
15,hit,5,push
13,hit,3,lose
16,hit,8,lose
15,hit,10,win
14,hit,3,win
12,hit,7,lose
12,hit,a,lose
14,hit,3,lose
17,stand,10,win
12,hit,7,lose
12,hit,5,lose
16,hit,8,lose
7,hit,10,lose
14,hit,10,lose
21,stand,9,win
7,hit,a,lose
20,stand,9,push
9,hit,10,lose
16,hit,2,win
18,stand,4,lose
18,stand,10,win
21,stand,9,win
4,hit,2,lose
6,hit,a,win
16,hit,10,push
10,hit,4,win
16,hit,10,lose
20,stand,10,lose
8,hit,7,win
21,stand,9,win
10,hit,7,win
14,hit,10,win
19,stand,2,win
10,hit,6,push
12,hit,a,lose
10,hit,8,win
16,hit,10,lose
16,hit,10,lose
7,hit,6,win
13,hit,3,lose
17,stand,10,lose
17,stand,4,lose
19,stand,10,win
13,hit,9,lose
19,stand,a,win
7,hit,a,lose
20,stand,9,win
15,hit,10,lose
16,hit,10,lose
